doc;sent_text;sent_id;position;pron;automatic_an;manual_an;fr_trad;automatic_impro_align
ep-09-01-12-012.xml ; Order of business Mr President , ladies and gentlemen , everyone is aware of the situation in Gaza . That we should discuss __it__ here in Parliament is perfectly natural . ;3; 11.5 ; it ; unknown_ref ;nominal_ref; empty;unknown_ref
ep-09-01-12-012.xml ; That we should discuss it here in Parliament is perfectly natural . However , we are calling for the Security Council to take a stand , we are calling for the bodies to take a stand , and for the European Union to take a stand , but we , in Parliament , we debate matters but we do not want to take a stand . I do however believe that , faced with the urgency of the situation in Gaza , __it__ is extremely important for this House to give its opinion and say exactly what it wants , in order to end the massacres currently taking place in the Middle East . ;5; 13.17 ; it ; unknown_ref ;pleonastic_ref; ,;nominal_ref
ep-09-01-12-012.xml ; That we should discuss it here in Parliament is perfectly natural . However , we are calling for the Security Council to take a stand , we are calling for the bodies to take a stand , and for the European Union to take a stand , but we , in Parliament , we debate matters but we do not want to take a stand . I do however believe that , faced with the urgency of the situation in Gaza , it is extremely important for this House to give its opinion and say exactly what __it__ wants , in order to end the massacres currently taking place in the Middle East . ;5; 13.32 ; it ; unknown_ref ;nominal_ref; empty;unknown_ref
ep-09-01-12-012.xml ; However , we are calling for the Security Council to take a stand , we are calling for the bodies to take a stand , and for the European Union to take a stand , but we , in Parliament , we debate matters but we do not want to take a stand . I do however believe that , faced with the urgency of the situation in Gaza , it is extremely important for this House to give its opinion and say exactly what it wants , in order to end the massacres currently taking place in the Middle East . I find __it__ unacceptable that this House should not have the courage or the lucidity to vote in favour of a resolution after our debate . ;6; 14.3 ; it ; pleonastic_ref ;pleonastic_ref; n';pleonastic_ref
ep-09-01-12-012.xml ; Mr President , we have , of course , given this matter a great deal of thought . Perhaps Mr Cohn- Bendit overestimates the significance of a resolution , but with the Security Council 's resolution we have a basis which we should support and , as the President of Parliament has already said , we should require both sides to seek peace , to lay down their arms and to comply with the Security Council 's resolution . I would , however , just like to add that this must be the gist of our resolution . If this is so , we can support __it__ . ;11; 20.9 ; it ; unknown_ref ;nominal_ref; empty;unknown_ref
ep-09-01-12-012.xml ; I only wanted to ... ( Heckling ) You are the right man for the job . You can keep quiet , lad . Quiet . __it__ is you . ;18; 46.1 ; it ; unknown_ref ;nominal_ref; alors;unknown_ref
ep-09-01-12-012.xml ; I only wanted to be sure . We are in Parliament , lad . Would Mr Cohn- Bendit and Mr Ferber please stop their argument now . You can continue __it__ later . ;21; 50.4 ; it ; unknown_ref ;nominal_ref; fin;unknown_ref
ep-09-01-12-013.xml ; Four and a half years have passed , and yet the nationals of the new Member States still feel like second - class citizens . What has happened , Mr President , is that a competition was announced last year for the post of head of unit of the Hungarian interpreters working at the European Parliament , a post to which the citizen of any Member State was eligible to apply . The head of unit in the interpretation service is responsible not only for administrative tasks but also for overseeing the transposition of European Union terminology into Hungarian . Mr President , __it__ is appalling that of two eligible candidates , one Hungarian and one British , the British candidate was selected . ;9; 10.4 ; it ; unknown_ref ;pleonastic_ref; ,;nominal_ref
ep-09-01-12-013.xml ; Mr President , this afternoon we have listened to yourself and others make statements on the terrible situation in Gaza and on the need for an immediate ceasefire and the withdrawal of Israeli armed forces from Gaza . I must say that , in this context , I agree with Mr Cohn- Bendit that Parliament should take a position - we can not sit on the fence . However , in a way __it__ is a bit mundane to speak about bread - and - butter issues , having listened to all that has been said , but of course bread - and - butter issues concern all our citizens . ;16; 17.6 ; it ; unknown_ref ;pleonastic_ref; questions;unknown_ref
ep-09-01-12-013.xml ; I must say that , in this context , I agree with Mr Cohn- Bendit that Parliament should take a position - we can not sit on the fence . However , in a way it is a bit mundane to speak about bread - and - butter issues , having listened to all that has been said , but of course bread - and - butter issues concern all our citizens . Last weekend in Ireland the announcement by Dell , that __it__ was relocating 2 000 jobs , came as a body - blow to the community in the Mid -West and West of Ireland . ;17; 18.11 ; it ; unknown_ref ;nominal_ref; une;unknown_ref
ep-09-01-12-013.xml ; At a time when we are experiencing a global financial downturn , this is especially difficult for workers directly employed by Dell and for its suppliers etc. In this context , the European Globalisation Fund could prove to be especially important to help retrain and reskill workers and to assist in the promotion of entrepreneurship for self - employment . __it__ is crucial that the Irish Government makes an immediate application to the Globalisation Fund , so that workers can have some faith in the future and see that the EU is working to assist all workers and , in this case , those in the West and Mid - West of Ireland . ;20; 21.1 ; it ; pleonastic_ref ;pleonastic_ref; il;pleonastic_ref
ep-09-01-12-013.xml ; It is crucial that the Irish Government makes an immediate application to the Globalisation Fund , so that workers can have some faith in the future and see that the EU is working to assist all workers and , in this case , those in the West and Mid - West of Ireland . - ( PL ) Mr President , we have just reached an agreement pursuant to which the flow of Russian gas will eventually be restored to several Member States of the Union whose supplies had been cut off . __it__ is worth highlighting the solidarity between the Member States on this matter , although sadly this was not evident from the very outset . ;22; 23.1 ; it ; unknown_ref ;pleonastic_ref; de;nominal_ref
ep-09-01-12-013.xml ; It is worth highlighting the solidarity between the Member States on this matter , although sadly this was not evident from the very outset . The various countries held very different opinions on this issue . Fortunately , however , we made an effort to present a united front at the end . Secondly , this issue also makes __it__ clear that we must develop a common energy policy as a Union . That is what we need , rather than individual energy policies for the largest countries , such as those building pipelines under the Baltic Sea on their own initiative . ;24; 28.7 ; it ; pleonastic_ref ;pleonastic_ref; politique;pleonastic_ref
ep-09-01-12-013.xml ; Secondly , this issue also makes it clear that we must develop a common energy policy as a Union . That is what we need , rather than individual energy policies for the largest countries , such as those building pipelines under the Baltic Sea on their own initiative . ( HU ) Mr President , ladies and gentlemen , in a global era of the unhealthy dominance of Coke and crisps , I wish to raise my voice in defence of Hungarian grape and wine growing in the Carpathian basin , which is of international significance . As a result of incorrectly interpreted EU directives , European funds nowadays go to supporting those who grub up their vineyards , and __it__ is not unusual for those who plant new elite grape varieties to be punished . ;26; 31.24 ; it ; unknown_ref ;pleonastic_ref; ceux;unknown_ref
ep-09-01-12-013.xml ; I wish to invoke this Hungarian folk greeting to wish you a blessed new year . Mr President , I rise on the issue of Palestine . I note that in your earlier remarks you have been somewhat coy in your positioning on Israel : 900 Palestinians dead , a third of whom are children , and yet we can not find __it__ in ourselves in this Chamber to utterly condemn Israeli brutality . ;32; 38.36 ; it ; unknown_ref ;pleonastic_ref; condamner;unknown_ref
ep-09-01-12-013.xml ;" Mr President , I rise on the issue of Palestine . I note that in your earlier remarks you have been somewhat coy in your positioning on Israel : 900 Palestinians dead , a third of whom are children , and yet we can not find it in ourselves in this Chamber to utterly condemn Israeli brutality . This onslaught is not alone disproportionate ; __it__ is entirely unjustified . ";33; 39.8 ; it ; unknown_ref ;nominal_ref; agression;unknown_ref
ep-09-01-12-013.xml ;" I note that in your earlier remarks you have been somewhat coy in your positioning on Israel : 900 Palestinians dead , a third of whom are children , and yet we can not find it in ourselves in this Chamber to utterly condemn Israeli brutality . This onslaught is not alone disproportionate ; it is entirely unjustified . __it__ is not driven by Israeli security needs ; in fact , it is a cynical and clinical attack not on Hamas , but on the Palestinian population . ";34; 40.1 ; it ; nominal_ref ;nominal_ref; elle;nominal_ref
ep-09-01-12-013.xml ;" I note that in your earlier remarks you have been somewhat coy in your positioning on Israel : 900 Palestinians dead , a third of whom are children , and yet we can not find it in ourselves in this Chamber to utterly condemn Israeli brutality . This onslaught is not alone disproportionate ; it is entirely unjustified . It is not driven by Israeli security needs ; in fact , __it__ is a cynical and clinical attack not on Hamas , but on the Palestinian population . ";34; 40.13 ; it ; unknown_ref ;nominal_ref; agit;nominal_ref
ep-09-01-12-013.xml ;" It is not driven by Israeli security needs ; in fact , it is a cynical and clinical attack not on Hamas , but on the Palestinian population . I think that Member States now have a moral obligation to flex the full extent of their diplomatic and political muscle with Israel to end this violence . Tiptoeing around the Israeli administration will not work ; __it__ has never worked . ";36; 42.10 ; it ; unknown_ref ;event_ref; empty;unknown_ref
ep-09-01-12-013.xml ; The debate will take place on Wednesday afternoon . ( BG ) Ladies and gentlemen , two days ago four schools in the city of Burgas found their walls daubed with racist slogans . They had sprayed on their walls things like : ' Turn Bulgarians into soap ' and ' Death to the giaours ' . 'Giaour ' is a derogatory Turkish expression used during the time of the Ottoman Empire to refer to non-Muslim subjects and those of non-Turkish origin . In the Turkish mind a giaour is considered to be subhuman , which makes __it__ the most offensive racist insult in the Turkish language . ' Giaours ' is the same word used by the former minister of agriculture Nihat Kabil and the Turkish administrators in the Ministry of Agriculture to refer to the Bulgarians who had joined the department , following which they gave preferential treatment to the Turks . ;46; 58.15 ; it ; unknown_ref ;nominal_ref; sous-homme;unknown_ref
