ep-09-01-12-012.xml	 Order of business Mr President , ladies and gentlemen , everyone is aware of the situation in Gaza . That we should discuss __it__ here in Parliament is perfectly natural . 	 Ordre de les travaux à le nom de le groupe Verts / ALE . - Monsieur le Président , chers collègues , la situation à Gaza est connue de tous . Que nous en discutions ici à le Parlement est naturel . 	3	11.5	 it 	 empty	 unknown_ref 	nominal_ref
ep-09-01-12-012.xml	 That we should discuss it here in Parliament is perfectly natural . However , we are calling for the Security Council to take a stand , we are calling for the bodies to take a stand , and for the European Union to take a stand , but we , in Parliament , we debate matters but we do not want to take a stand . I do however believe that , faced with the urgency of the situation in Gaza , __it__ is extremely important for this House to give its opinion and say exactly what it wants , in order to end the massacres currently taking place in the Middle East . 	 Que nous en discutions ici à le Parlement est naturel . Mais nous demandons que le Conseil de sécurité prenne position , nous demandons que les instances prennent position , que l' Union européenne prenne position . Et nous , à le Parlement , nous discutons et nous ne voulons pas prendre position . Je trouve que , quand même , face à l' urgence de la situation à Gaza , __il__ est d' extrême importance que ce Parlement se prononce et dise exactement ce qu' il veut pour arrêter les massacres qui ont lieu à le Moyen-Orient en ce moment . 	5	13.17	 it 	 il	 nominal_ref 	pleonastic_ref
ep-09-01-12-012.xml	 That we should discuss it here in Parliament is perfectly natural . However , we are calling for the Security Council to take a stand , we are calling for the bodies to take a stand , and for the European Union to take a stand , but we , in Parliament , we debate matters but we do not want to take a stand . I do however believe that , faced with the urgency of the situation in Gaza , it is extremely important for this House to give its opinion and say exactly what __it__ wants , in order to end the massacres currently taking place in the Middle East . 	 Que nous en discutions ici à le Parlement est naturel . Mais nous demandons que le Conseil de sécurité prenne position , nous demandons que les instances prennent position , que l' Union européenne prenne position . Et nous , à le Parlement , nous discutons et nous ne voulons pas prendre position . Je trouve que , quand même , face à l' urgence de la situation __à__ Gaza , il est d' extrême importance que ce Parlement se prononce et dise exactement ce qu' il veut pour arrêter les massacres qui ont lieu à le Moyen-Orient en ce moment . 	5	13.32	 it 	 à	 unknown_ref 	nominal_ref
ep-09-01-12-012.xml	 However , we are calling for the Security Council to take a stand , we are calling for the bodies to take a stand , and for the European Union to take a stand , but we , in Parliament , we debate matters but we do not want to take a stand . I do however believe that , faced with the urgency of the situation in Gaza , it is extremely important for this House to give its opinion and say exactly what it wants , in order to end the massacres currently taking place in the Middle East . I find __it__ unacceptable that this House should not have the courage or the lucidity to vote in favour of a resolution after our debate . 	 Mais nous demandons que le Conseil de sécurité prenne position , nous demandons que les instances prennent position , que l' Union européenne prenne position . Et nous , à le Parlement , nous discutons et nous ne voulons pas prendre position . Je trouve que , quand même , face à l' urgence de la situation à Gaza , il est d' extrême importance que ce Parlement se prononce et dise exactement ce qu' il veut pour arrêter les massacres qui ont lieu à le Moyen-Orient en ce moment . Je trouve inadmissible que ce Parlement n' ait pas le courage et la lucidité de voter une résolution après notre débat . 	6	14.3	 it 	 empty	 unknown_ref 	pleonastic_ref
ep-09-01-12-012.xml	 Mr President , we have , of course , given this matter a great deal of thought . Perhaps Mr Cohn- Bendit overestimates the significance of a resolution , but with the Security Council 's resolution we have a basis which we should support and , as the President of Parliament has already said , we should require both sides to seek peace , to lay down their arms and to comply with the Security Council 's resolution . I would , however , just like to add that this must be the gist of our resolution . If this is so , we can support __it__ . 	 Monsieur le Président , nous avons , bien entendu , longuement réfléchi à cette question . Peut-être M. Cohn-Bendit surestime -t -il l' importance d' une résolution , mais la résolution de le Conseil de sécurité nous offre une base que nous devons soutenir et , comme l' a déjà dit le président de le Parlement , nous devons exiger de les deux parties qu' elles recherchent la paix , déposent les armes et se conforment à la résolution de le Conseil de sécurité . Je voudrais cependant ajouter que c' est cela __qui__ doit former la substance de notre résolution . Si tel est le cas , nous pouvons la soutenir . 	11	20.9	 it 	 qui	 unknown_ref 	nominal_ref
ep-09-01-12-012.xml	 I only wanted to ... ( Heckling ) You are the right man for the job . You can keep quiet , lad . Quiet . __It__ is you . 	 Je voulais juste ... ( Tumulte ) Alors __c'__ est toi le mieux placé . Tiens-toi tranquille , mon pote . Calme . C' est bien toi . 	18	46.1	 it 	 c'	 unknown_ref 	nominal_ref
ep-09-01-12-012.xml	 I only wanted to be sure . We are in Parliament , lad . Would Mr Cohn- Bendit and Mr Ferber please stop their argument now . You can continue __it__ later . 	 Je voulais simplement m' en assurer . On est ici à le Parlement , mon pote . Si __MM.__ Cohn-Bendit __et__ Ferber veulent bien mettre fin tout de suite à leur dispute ... Vous pourrez continuer plus tard . 	21	50.4	 it 	 et	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 Four and a half years have passed , and yet the nationals of the new Member States still feel like second - class citizens . What has happened , Mr President , is that a competition was announced last year for the post of head of unit of the Hungarian interpreters working at the European Parliament , a post to which the citizen of any Member State was eligible to apply . The head of unit in the interpretation service is responsible not only for administrative tasks but also for overseeing the transposition of European Union terminology into Hungarian . Mr President , __it__ is appalling that of two eligible candidates , one Hungarian and one British , the British candidate was selected . 	 Quatre ans et demi se sont écoulés et , pourtant , les ressortissants de les nouveaux États membres se sentent encore de les citoyens de seconde catégorie . Il se trouve , Monsieur le Président , qu' un concours a été annoncé l' année dernière pour le poste de chef d' unité de les interprètes hongrois de le Parlement européen , poste à lequel tout citoyen d' un État membre était habilité à postuler . Le chef d' unité de le service d' interprétation est responsable non seulement de les tâches administratives , mais aussi de la supervision de la transposition de la terminologie de l' Union européenne en hongrois . Monsieur le Président , __il__ est consternant que sur deux candidats éligibles , un Hongrois et un Britannique , ce soit le candidat britannique qui ait été sélectionné . 	9	10.4	 it 	 il	 nominal_ref 	pleonastic_ref
ep-09-01-12-013.xml	 Mr President , this afternoon we have listened to yourself and others make statements on the terrible situation in Gaza and on the need for an immediate ceasefire and the withdrawal of Israeli armed forces from Gaza . I must say that , in this context , I agree with Mr Cohn- Bendit that Parliament should take a position - we can not sit on the fence . However , in a way __it__ is a bit mundane to speak about bread - and - butter issues , having listened to all that has been said , but of course bread - and - butter issues concern all our citizens . 	 ( EN ) Monsieur le Président , cet après-midi , nous avons écouté vos déclarations et celles d' autres intervenants sur la situation catastrophique qui prévaut à Gaza et sur la nécessité d' obtenir un cessez-le-feu immédiat et le retrait de les forces armées israéliennes de le territoire . Je dois dire que , dans un tel contexte , je rejoins M. Cohn-Bendit lorsqu' il demande que le Parlement adopte une position - nous ne pouvons rester sans réagir . Si , à __le__ vu de tout ce qui vient d' être dit , il est quelque peu terre-à-terre d' évoquer de les questions d' emploi , ces questions n' en concernent pas moins tous nos concitoyens . 	16	17.6	 it 	 le	 nominal_ref 	pleonastic_ref
ep-09-01-12-013.xml	 I must say that , in this context , I agree with Mr Cohn- Bendit that Parliament should take a position - we can not sit on the fence . However , in a way it is a bit mundane to speak about bread - and - butter issues , having listened to all that has been said , but of course bread - and - butter issues concern all our citizens . Last weekend in Ireland the announcement by Dell , that __it__ was relocating 2 000 jobs , came as a body - blow to the community in the Mid -West and West of Ireland . 	 Je dois dire que , dans un tel contexte , je rejoins M. Cohn-Bendit lorsqu' il demande que le Parlement adopte une position - nous ne pouvons rester sans réagir . Si , à le vu de tout ce qui vient d' être dit , il est quelque peu terre-à-terre d' évoquer de les questions d' emploi , ces questions n' en concernent pas moins tous nos concitoyens . La semaine dernière , en Irlande , l' annonce faite par Dell d' __une__ délocalisation de 2 000 emplois fut un coup dur pour les communautés locales de le centre ouest et de l' ouest de le pays . 	17	18.11	 it 	 une	 unknown_ref 	nominal_ref
ep-09-01-12-013.xml	 At a time when we are experiencing a global financial downturn , this is especially difficult for workers directly employed by Dell and for its suppliers etc. In this context , the European Globalisation Fund could prove to be especially important to help retrain and reskill workers and to assist in the promotion of entrepreneurship for self - employment . __It__ is crucial that the Irish Government makes an immediate application to the Globalisation Fund , so that workers can have some faith in the future and see that the EU is working to assist all workers and , in this case , those in the West and Mid - West of Ireland . 	 Alors que les marchés financiers mondiaux sont orientés à la baisse , cette décision est particulièrement difficile à vivre pour le personnel de Dell , celui de ses fournisseurs , etc. Dans ce contexte , le Fonds européen d' ajustement à la mondialisation pourrait s' avérer décisif pour aider à reformer et à recycler les travailleurs et pour promouvoir l' esprit d' entreprise et l' établissement de les travailleurs à leur propre compte . __Il__ est essentiel que le gouvernement irlandais demande sur-le-champ l' aide de ce Fonds , de sorte que les employés puissent à nouveau croire en l' avenir et constater que l' UE s' attelle à aider tous les travailleurs , y compris , dans ce cas , ceux de l' ouest et de le centre ouest de l' Irlande . 	20	21.1	 it 	 il	 pleonastic_ref 	pleonastic_ref
ep-09-01-12-013.xml	 It is crucial that the Irish Government makes an immediate application to the Globalisation Fund , so that workers can have some faith in the future and see that the EU is working to assist all workers and , in this case , those in the West and Mid - West of Ireland . - ( PL ) Mr President , we have just reached an agreement pursuant to which the flow of Russian gas will eventually be restored to several Member States of the Union whose supplies had been cut off . __It__ is worth highlighting the solidarity between the Member States on this matter , although sadly this was not evident from the very outset . 	 Il est essentiel que le gouvernement irlandais demande sur-le-champ l' aide de ce Fonds , de sorte que les employés puissent à nouveau croire en l' avenir et constater que l' UE s' attelle à aider tous les travailleurs , y compris , dans ce cas , ceux de l' ouest et de le centre ouest de l' Irlande . - ( PL ) Monsieur le Président , nous venons juste de conclure un accord en vertu de lequel l' acheminement de le gaz russe sera finalement rétabli pour plusieurs États membres de l' Union dont les livraisons avaient été interrompues . __Il__ convient de souligner la solidarité entre États membres sur cette question , même si , malheureusement , cela n' était pas acquis dès le départ . 	22	23.1	 it 	 il	 nominal_ref 	pleonastic_ref
ep-09-01-12-013.xml	 It is worth highlighting the solidarity between the Member States on this matter , although sadly this was not evident from the very outset . The various countries held very different opinions on this issue . Fortunately , however , we made an effort to present a united front at the end . Secondly , this issue also makes __it__ clear that we must develop a common energy policy as a Union . That is what we need , rather than individual energy policies for the largest countries , such as those building pipelines under the Baltic Sea on their own initiative . 	 Il convient de souligner la solidarité entre États membres sur cette question , même si , malheureusement , cela n' était pas acquis dès le départ . Les différents pays avaient de les avis très divergents sur cette question . Heureusement , toutefois , nous avons fait un effort pour présenter en fin de compte un front uni . Deuxièmement , cette question montre __tout__ aussi clairement que nous devons , en tant qu' Union , élaborer une politique commune de l' énergie . C' est de cela que nous avons besoin , plutôt que de différentes politiques énergétiques pour les grands pays , comme ceux qui construisent de leur propre initiative de les gazoducs sous la mer Baltique . 	24	28.7	 it 	 tout	 pleonastic_ref 	pleonastic_ref
ep-09-01-12-013.xml	 Secondly , this issue also makes it clear that we must develop a common energy policy as a Union . That is what we need , rather than individual energy policies for the largest countries , such as those building pipelines under the Baltic Sea on their own initiative . ( HU ) Mr President , ladies and gentlemen , in a global era of the unhealthy dominance of Coke and crisps , I wish to raise my voice in defence of Hungarian grape and wine growing in the Carpathian basin , which is of international significance . As a result of incorrectly interpreted EU directives , European funds nowadays go to supporting those who grub up their vineyards , and __it__ is not unusual for those who plant new elite grape varieties to be punished . 	 Deuxièmement , cette question montre tout aussi clairement que nous devons , en tant qu' Union , élaborer une politique commune de l' énergie . C' est de cela que nous avons besoin , plutôt que de différentes politiques énergétiques pour les grands pays , comme ceux qui construisent de leur propre initiative de les gazoducs sous la mer Baltique . ( HU ) Monsieur le Président , Mesdames et Messieurs , en cette ère de domination malsaine de les chips et de le coca , je tiens à élever la voix pour défendre la vigne et le vin hongrois cultivés dans le bassin de les Carpates , qui revêtent une importance à l' échelle internationale . À la suite d' une mauvaise interprétation de les directives européennes , de les fonds européens profitent aujourd'hui à ceux qui arrachent leurs vignes , et il n' est pas rare que ceux qui plantent de nouveaux cépages d' élite soient punis . 	26	31.24	 it 	 empty	 unknown_ref 	pleonastic_ref
ep-09-01-12-013.xml	 I wish to invoke this Hungarian folk greeting to wish you a blessed new year . Mr President , I rise on the issue of Palestine . I note that in your earlier remarks you have been somewhat coy in your positioning on Israel : 900 Palestinians dead , a third of whom are children , and yet we can not find __it__ in ourselves in this Chamber to utterly condemn Israeli brutality . 	 Je tiens à invoquer cette formule populaire hongroise pour vous souhaiter une très heureuse nouvelle année . ( EN ) Monsieur le Président , je voudrais évoquer la question de la Palestine . Je constate que , dans vos précédentes remarques , vous vous êtes montré relativement timoré dans votre position à l' égard d' Israël : 900 Palestiniens tués , dont un tiers d' enfants , et nous ne sommes toujours pas capables en cette Assemblée de condamner fermement la brutalité de l' État hébreu . 	32	38.36	 it 	 empty	 unknown_ref 	pleonastic_ref
ep-09-01-12-013.xml	 Mr President , I rise on the issue of Palestine . I note that in your earlier remarks you have been somewhat coy in your positioning on Israel : 900 Palestinians dead , a third of whom are children , and yet we can not find it in ourselves in this Chamber to utterly condemn Israeli brutality . This onslaught is not alone disproportionate ; __it__ is entirely unjustified . 	 ( EN ) Monsieur le Président , je voudrais évoquer la question de la Palestine . Je constate que , dans vos précédentes remarques , vous vous êtes montré relativement timoré dans votre position à l' égard d' Israël : 900 Palestiniens tués , dont un tiers d' enfants , et nous ne sommes toujours pas capables en cette Assemblée de condamner fermement la brutalité de l' État hébreu . Cette agression n' est pas seulement disproportionnée , __elle__ est totalement injustifiée . 	33	39.8	 it 	 elle	 nominal_ref 	nominal_ref
